network,model,method,n,runtime_mean,runtime_std,max_rel_err_mean,mean_rel_err_mean,n_runs
gnp_directed_p0.05,dcm_exp,fixed-point,50,0.15913207998964934,0.2946051829566444,9.769962616701378e-16,2.3786983552776036e-16,5
gnp_directed_p0.05,dcm_exp,fixed-point,100,0.03412547998595983,0.0016563737428210077,1.1546319456101628e-15,3.3348744997214486e-16,5
gnp_directed_p0.05,dcm_exp,fixed-point,200,0.01222145997453481,0.0011936856766513783,6.1048082145021e-10,5.638370588819254e-10,5
gnp_directed_p0.05,dcm_exp,fixed-point,500,0.0520842200377956,0.0007689165154702053,3.9563052093664437e-10,3.7437782631483267e-10,5
gnp_directed_p0.05,dcm_exp,fixed-point,1000,0.21022733999416232,0.004866489424053892,2.7686176906627226e-10,2.652269206983611e-10,5
gnp_directed_p0.05,dcm_exp,fixed-point,2000,0.8324713200097904,0.006731535607976748,1.915759890594285e-10,1.8518630053901825e-10,5
gnp_directed_p0.05,dcm_exp,newton,50,0.23750954000279306,0.526439906317109,5.6757087918413165e-11,1.7910894056841663e-12,5
gnp_directed_p0.05,dcm_exp,newton,100,0.005447419988922775,0.0012558447828022138,9.925951172107261e-10,1.4139629745809652e-11,5
gnp_directed_p0.05,dcm_exp,newton,200,0.02262411997653544,0.003275409439896462,6.468265983568717e-08,3.9319243468154876e-10,5
gnp_directed_p0.05,dcm_exp,newton,500,0.2620688599999994,0.07912353628154571,9.999483789549584e-08,5.566508812209978e-10,5
gnp_directed_p0.05,dcm_exp,newton,1000,2.4967835400020704,0.5359014708522096,8.440371784956159e-14,1.114545152437056e-15,5
gnp_directed_p0.05,dcm_exp,newton,2000,26.694092639978045,5.80525484205213,3.171510018883616e-07,3.8485612301432095e-10,5
gnp_directed_p0.05,dcm_exp,quasinewton,50,0.043968999991193414,0.09179073819475134,8.381708870879088e-09,2.5434854037067072e-09,5
gnp_directed_p0.05,dcm_exp,quasinewton,100,0.00391198000870645,0.0005921127230705235,2.929767196254336e-09,6.521784135960954e-10,5
gnp_directed_p0.05,dcm_exp,quasinewton,200,0.01213926002383232,0.001599415201977502,1.76872375903201e-09,2.52827672590315e-10,5
gnp_directed_p0.05,dcm_exp,quasinewton,500,0.051114699942991136,0.01269138613581108,1.0931027363819942e-07,4.613357133443579e-09,5
gnp_directed_p0.05,dcm_exp,quasinewton,1000,0.23357822003308684,0.05848277550734288,1.0681029711416437e-08,1.7807402814956726e-09,5
gnp_directed_p0.05,dcm_exp,quasinewton,2000,1.4495095600141212,0.17483894158983518,3.534369000073564e-08,4.05707343843947e-09,5
