network,type,model,n,m,property,observed,ensemble_mean,ensemble_std,z_score,analytical_mean,analytical_std,z_score_analytical
Karate Club,undirected,UBCM,34,78,avg_clustering,0.5706384782076823,0.3557574290950876,0.06851324395521025,3.136343233916507,,,
Karate Club,undirected,UBCM,34,78,transitivity,0.2556818181818182,0.2708262378882681,0.03585471128509775,-0.422382977400919,,,
Karate Club,undirected,UBCM,34,78,n_triangles,45.0,52.702,13.240664484836099,-0.5816928605675894,,,
Karate Club,undirected,UBCM,34,78,density,0.13903743315508021,0.1390427807486631,0.012206758911605914,-0.00043808463996201046,,,
Karate Club,undirected,UBCM,34,78,assortativity,-0.47561309768461413,-0.3293367508924439,0.06762688421852579,-2.16299107200475,,,
Les Miserables,undirected,UBCM,77,254,avg_clustering,0.5731367499320135,0.23757005626798383,0.03170255602850141,10.584846640199817,,,
Les Miserables,undirected,UBCM,77,254,transitivity,0.49893162393162394,0.23647480748376698,0.019735682536660228,13.298593345344276,,,
Les Miserables,undirected,UBCM,77,254,n_triangles,467.0,237.761,38.660934792112826,5.929473801724184,,,
Les Miserables,undirected,UBCM,77,254,density,0.08680792891319207,0.08691934381408066,0.004692721796332194,-0.023742063928799562,,,
Les Miserables,undirected,UBCM,77,254,assortativity,-0.16522513442237025,-0.18479167723387513,0.03792785963312498,0.515888399734956,,,
email-Eu-core,directed,DBCM,986,24929,density,0.025667981178118016,0.025672440563832746,0.00014707255199880947,-0.03032099228661927,,,
email-Eu-core,directed,DBCM,986,24929,reciprocity,8865.0,1617.957,38.19930825289903,189.71660303429724,,,
email-Eu-core,directed,DBCM,986,24929,avg_clustering,0.4070504475195386,0.23707203928606743,0.004836529321702724,35.14470748078282,,,
email-Eu-core,directed,DBCM,986,24929,transitivity,0.26739242877040204,0.2058363639811533,0.0018388588343321295,33.47514427968899,,,
email-Eu-core,directed,DBCM,986,24929,n_triangles,105461.0,169876.224,3040.254103495956,-21.187447432742417,,,
email-Eu-core,directed,DBCM,986,24929,assortativity,-0.025743368083088566,-0.11907420355894771,0.004256276138525145,21.92781493453559,,,
email-Eu-core,directed,DBCM,986,24929,reciprocity_analytical,8865.0,,,,1617.8967954413788,38.108078103967614,190.17236148164847
